Date,Close,Eps,FedFundsRate
2020-09-09,3398.96,113.54,0.09
2020-09-10,3339.19,113.54,0.09
2020-09-11,3340.97,113.54,0.09
2020-09-14,3383.54,113.54,0.09
2020-09-15,3401.2,113.54,0.09
2020-09-16,3385.49,113.54,0.09
2020-09-17,3357.01,113.54,0.09
2020-09-18,3319.47,113.54,0.09
2020-09-21,3281.06,113.54,0.09
2020-09-22,3315.57,113.54,0.09
2020-09-23,3236.92,113.54,0.09
2020-09-24,3246.59,113.54,0.09
2020-09-25,3298.46,113.54,0.09
2020-09-28,3351.6,113.54,0.09
2020-09-29,3335.47,113.54,0.09
2020-09-30,3363.0,113.54,0.09
2020-10-01,3380.8,126.7,0.09
2020-10-02,3348.42,126.7,0.09
2020-10-05,3408.6,126.7,0.09
2020-10-06,3360.97,126.7,0.09
2020-10-07,3419.44,126.7,0.09
2020-10-08,3446.83,126.7,0.09
2020-10-09,3477.14,126.7,0.09
2020-10-12,3534.22,126.7,0.09
2020-10-13,3511.93,126.7,0.09
2020-10-14,3488.67,126.7,0.09
2020-10-15,3483.34,126.7,0.09
2020-10-16,3483.81,126.7,0.09
2020-10-19,3426.92,126.7,0.09
2020-10-20,3443.12,126.7,0.09
2020-10-21,3435.56,126.7,0.09
2020-10-22,3453.49,126.7,0.09
2020-10-23,3465.39,126.7,0.09
2020-10-26,3400.97,126.7,0.09
2020-10-27,3390.68,126.7,0.09
2020-10-28,3271.03,126.7,0.09
2020-10-29,3310.11,126.7,0.09
2020-10-30,3269.96,126.7,0.09
2020-11-02,3310.24,139.57,0.08
2020-11-03,3369.16,139.57,0.08
2020-11-04,3443.44,139.57,0.08
2020-11-05,3510.45,139.57,0.08
2020-11-06,3509.44,139.57,0.08
2020-11-09,3550.5,139.57,0.08
2020-11-10,3545.53,139.57,0.08
2020-11-11,3572.66,139.57,0.08
2020-11-12,3537.01,139.57,0.08
2020-11-13,3585.15,139.57,0.08
2020-11-16,3626.91,139.57,0.08
2020-11-17,3609.53,139.57,0.08
2020-11-18,3567.79,139.57,0.08
2020-11-19,3581.87,139.57,0.08
2020-11-20,3557.54,139.57,0.08
2020-11-23,3577.59,139.57,0.08
2020-11-24,3635.41,139.57,0.08
2020-11-25,3629.65,139.57,0.08
2020-11-27,3638.35,139.57,0.08
2020-11-30,3621.63,139.57,0.08
2020-12-01,3662.45,152.06,0.07
2020-12-02,3669.01,152.06,0.07
2020-12-03,3666.72,152.06,0.07
2020-12-04,3699.12,152.06,0.07
2020-12-07,3691.96,152.06,0.07
2020-12-08,3702.25,152.06,0.07
2020-12-09,3672.82,152.06,0.07
2020-12-10,3668.1,152.06,0.07
2020-12-11,3663.46,152.06,0.07
2020-12-14,3647.49,152.06,0.07
2020-12-15,3694.62,152.06,0.07
2020-12-16,3701.17,152.06,0.07
2020-12-17,3722.48,152.06,0.07
2020-12-18,3709.41,152.06,0.07
2020-12-21,3694.92,152.06,0.07
2020-12-22,3687.26,152.06,0.07
2020-12-23,3690.01,152.06,0.07
2020-12-24,3703.06,152.06,0.07
2020-12-28,3735.36,152.06,0.07
2020-12-29,3727.04,152.06,0.07
2020-12-30,3732.04,152.06,0.07
2020-12-31,3756.07,152.06,0.07
2021-01-04,3700.65,162.8,0.07
2021-01-05,3726.86,162.8,0.07
2021-01-06,3748.14,162.8,0.07
2021-01-07,3803.79,162.8,0.07
2021-01-08,3824.68,162.8,0.07
2021-01-11,3799.61,162.8,0.07
2021-01-12,3801.19,162.8,0.07
2021-01-13,3809.84,162.8,0.07
2021-01-14,3795.54,162.8,0.07
2021-01-15,3768.25,162.8,0.07
2021-01-19,3798.91,162.8,0.07
2021-01-20,3851.85,162.8,0.07
2021-01-21,3853.07,162.8,0.07
2021-01-22,3841.47,162.8,0.07
2021-01-25,3855.36,162.8,0.07
2021-01-26,3849.62,162.8,0.07
2021-01-27,3750.77,162.8,0.07
2021-01-28,3787.38,162.8,0.07
2021-01-29,3714.24,162.8,0.07
2021-02-01,3773.86,173.4,0.06
2021-02-02,3826.31,173.4,0.06
2021-02-03,3830.17,173.4,0.06
2021-02-04,3871.74,173.4,0.06
2021-02-05,3886.83,173.4,0.06
2021-02-08,3915.59,173.4,0.06
2021-02-09,3911.23,173.4,0.06
2021-02-10,3909.88,173.4,0.06
2021-02-11,3916.38,173.4,0.06
2021-02-12,3934.83,173.4,0.06
2021-02-16,3932.59,173.4,0.06
2021-02-17,3931.33,173.4,0.06
2021-02-18,3913.97,173.4,0.06
2021-02-19,3906.71,173.4,0.06
2021-02-22,3876.5,173.4,0.06
2021-02-23,3881.37,173.4,0.06
2021-02-24,3925.43,173.4,0.06
2021-02-25,3829.34,173.4,0.06
2021-02-26,3811.15,173.4,0.06
2021-03-01,3901.82,183.58,0.08
2021-03-02,3870.29,183.58,0.08
2021-03-03,3819.72,183.58,0.08
2021-03-04,3768.47,183.58,0.08
2021-03-05,3841.94,183.58,0.08
2021-03-08,3821.35,183.58,0.08
2021-03-09,3875.44,183.58,0.08
2021-03-10,3898.81,183.58,0.08
2021-03-11,3939.34,183.58,0.08
2021-03-12,3943.34,183.58,0.08
2021-03-15,3968.94,183.58,0.08
2021-03-16,3962.71,183.58,0.08
2021-03-17,3974.12,183.58,0.08
2021-03-18,3915.46,183.58,0.08
2021-03-19,3913.1,183.58,0.08
2021-03-22,3940.59,183.58,0.08
2021-03-23,3910.52,183.58,0.08
2021-03-24,3889.14,183.58,0.08
2021-03-25,3909.52,183.58,0.08
2021-03-26,3974.54,183.58,0.08
2021-03-29,3971.09,183.58,0.08
2021-03-30,3958.55,183.58,0.08
2021-03-31,3972.89,183.58,0.08
2021-04-01,4019.87,189.07,0.1
2021-04-05,4077.91,189.07,0.1
2021-04-06,4073.94,189.07,0.1
2021-04-07,4079.95,189.07,0.1
2021-04-08,4097.17,189.07,0.1
2021-04-09,4128.8,189.07,0.1
2021-04-12,4127.99,189.07,0.1
2021-04-13,4141.59,189.07,0.1
2021-04-14,4124.66,189.07,0.1
2021-04-15,4170.42,189.07,0.1
2021-04-16,4185.47,189.07,0.1
2021-04-19,4163.26,189.07,0.1
2021-04-20,4134.94,189.07,0.1
2021-04-21,4173.42,189.07,0.1
2021-04-22,4134.98,189.07,0.1
2021-04-23,4180.17,189.07,0.1
2021-04-26,4187.62,189.07,0.1
2021-04-27,4186.72,189.07,0.1
2021-04-28,4183.18,189.07,0.1
2021-04-29,4211.47,189.07,0.1
2021-04-30,4181.17,189.07,0.1
2021-05-03,4192.66,195.04,0.09
2021-05-04,4164.66,195.04,0.09
2021-05-05,4167.59,195.04,0.09
2021-05-06,4201.62,195.04,0.09
2021-05-07,4232.6,195.04,0.09
2021-05-10,4188.43,195.04,0.09
2021-05-11,4152.1,195.04,0.09
2021-05-12,4063.04,195.04,0.09
2021-05-13,4112.5,195.04,0.09
2021-05-14,4173.85,195.04,0.09
2021-05-17,4163.29,195.04,0.09
2021-05-18,4127.83,195.04,0.09
2021-05-19,4115.68,195.04,0.09
2021-05-20,4159.12,195.04,0.09
2021-05-21,4155.86,195.04,0.09
2021-05-24,4197.05,195.04,0.09
2021-05-25,4188.13,195.04,0.09
2021-05-26,4195.99,195.04,0.09
2021-05-27,4200.88,195.04,0.09
2021-05-28,4204.11,195.04,0.09
2021-06-01,4202.04,200.86,0.08
2021-06-02,4208.12,200.86,0.08
2021-06-03,4192.85,200.86,0.08
2021-06-04,4229.89,200.86,0.08
2021-06-07,4226.52,200.86,0.08
2021-06-08,4227.26,200.86,0.08
2021-06-09,4219.55,200.86,0.08
2021-06-10,4239.18,200.86,0.08
2021-06-11,4247.44,200.86,0.08
2021-06-14,4255.15,200.86,0.08
2021-06-15,4246.59,200.86,0.08
2021-06-16,4223.7,200.86,0.08
2021-06-17,4221.86,200.86,0.08
2021-06-18,4166.45,200.86,0.08
2021-06-21,4224.79,200.86,0.08
2021-06-22,4246.44,200.86,0.08
2021-06-23,4241.84,200.86,0.08
2021-06-24,4266.49,200.86,0.08
2021-06-25,4280.7,200.86,0.08
2021-06-28,4290.61,200.86,0.08
2021-06-29,4291.8,200.86,0.08
2021-06-30,4297.5,200.86,0.08
2021-07-01,4319.94,207.72,0.08
